parameter	interval	estimation	value
BL1	CI	ML2	0.89
BL2	CI	ML2	0.82
BL3	CI	ML2	0.84
BL4	CI	ML2	0.87
F1	CI	ML2	0.92
F2	CI	ML2	0.9
F3	CI	ML2	0.9
F4	CI	ML2	0.94
F5	CI	ML2	0.96
F6	CI	ML2	0.88
F7	CI	ML2	0.91
F8	CI	ML2	0.89
F9	CI	ML2	0.91
F1.0	CI	ML2	0.87
F1.1	CI	ML2	0.92
F1.2	CI	ML2	0.88
F1.3	CI	ML2	0.91
F1.4	CI	ML2	0.8
BL1	CI	ML3	0.98
BL2	CI	ML3	0.82
BL3	CI	ML3	0.98
BL4	CI	ML3	0.98
F1	CI	ML3	0.87
F2	CI	ML3	0.88
F3	CI	ML3	0.87
F4	CI	ML3	0.9
F5	CI	ML3	0.92
F6	CI	ML3	0.91
F7	CI	ML3	0.94
F8	CI	ML3	0.87
F9	CI	ML3	0.87
F1.0	CI	ML3	0.91
F1.1	CI	ML3	0.9
F1.2	CI	ML3	0.88
F1.3	CI	ML3	0.89
F1.4	CI	ML3	0.87
BL1	HDI	ML2	0.89
BL2	HDI	ML2	0.83
BL3	HDI	ML2	0.85
BL4	HDI	ML2	0.87
F1	HDI	ML2	0.91
F2	HDI	ML2	0.9
F3	HDI	ML2	0.9
F4	HDI	ML2	0.93
F5	HDI	ML2	0.95
F6	HDI	ML2	0.91
F7	HDI	ML2	0.9
F8	HDI	ML2	0.9
F9	HDI	ML2	0.9
F1.0	HDI	ML2	0.88
F1.1	HDI	ML2	0.9
F1.2	HDI	ML2	0.92
F1.3	HDI	ML2	0.93
F1.4	HDI	ML2	0.82
BL1	HDI	ML3	0.98
BL2	HDI	ML3	0.81
BL3	HDI	ML3	0.97
BL4	HDI	ML3	0.97
F1	HDI	ML3	0.91
F2	HDI	ML3	0.88
F3	HDI	ML3	0.89
F4	HDI	ML3	0.9
F5	HDI	ML3	0.9
F6	HDI	ML3	0.89
F7	HDI	ML3	0.95
F8	HDI	ML3	0.86
F9	HDI	ML3	0.88
F1.0	HDI	ML3	0.91
F1.1	HDI	ML3	0.91
F1.2	HDI	ML3	0.89
F1.3	HDI	ML3	0.92
F1.4	HDI	ML3	0.88
BL1	CI	REML2	0.59
BL2	CI	REML2	0.67
BL3	CI	REML2	0.61
BL4	CI	REML2	0.64
F1	CI	REML2	0.84
F2	CI	REML2	0.83
F3	CI	REML2	0.78
F4	CI	REML2	0.79
F5	CI	REML2	0.79
F6	CI	REML2	0.85
F7	CI	REML2	0.81
F8	CI	REML2	0.8
F9	CI	REML2	0.75
F1.0	CI	REML2	0.8
F1.1	CI	REML2	0.8
F1.2	CI	REML2	0.71
F1.3	CI	REML2	0.79
F1.4	CI	REML2	0.77
BL1	CI	REML3	0.95
BL2	CI	REML3	0.88
BL3	CI	REML3	0.95
BL4	CI	REML3	0.95
F1	CI	REML3	0.94
F2	CI	REML3	0.88
F3	CI	REML3	0.88
F4	CI	REML3	0.9
F5	CI	REML3	0.92
F6	CI	REML3	0.93
F7	CI	REML3	0.86
F8	CI	REML3	0.93
F9	CI	REML3	0.87
F1.0	CI	REML3	0.92
F1.1	CI	REML3	0.88
F1.2	CI	REML3	0.95
F1.3	CI	REML3	0.96
F1.4	CI	REML3	0.93
BL1	HDI	REML2	0.58
BL2	HDI	REML2	0.64
BL3	HDI	REML2	0.6
BL4	HDI	REML2	0.63
F1	HDI	REML2	0.84
F2	HDI	REML2	0.78
F3	HDI	REML2	0.74
F4	HDI	REML2	0.73
F5	HDI	REML2	0.72
F6	HDI	REML2	0.83
F7	HDI	REML2	0.78
F8	HDI	REML2	0.78
F9	HDI	REML2	0.73
F1.0	HDI	REML2	0.75
F1.1	HDI	REML2	0.74
F1.2	HDI	REML2	0.67
F1.3	HDI	REML2	0.75
F1.4	HDI	REML2	0.72
BL1	HDI	REML3	0.96
BL2	HDI	REML3	0.91
BL3	HDI	REML3	0.94
BL4	HDI	REML3	0.94
F1	HDI	REML3	0.95
F2	HDI	REML3	0.89
F3	HDI	REML3	0.89
F4	HDI	REML3	0.89
F5	HDI	REML3	0.93
F6	HDI	REML3	0.93
F7	HDI	REML3	0.85
F8	HDI	REML3	0.93
F9	HDI	REML3	0.86
F1.0	HDI	REML3	0.91
F1.1	HDI	REML3	0.87
F1.2	HDI	REML3	0.94
F1.3	HDI	REML3	0.95
F1.4	HDI	REML3	0.92

